pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
1632,739,893,2019-03-18,cloudy,nan
28,12,16,2019-05-30,cloudy,nan
3335,1431,1904,2019-10-13,partly-cloudy-day,nan
0,0,0,2019-07-22,partly-cloudy-night,nan
2353,1099,1254,2019-10-25,partly-cloudy-day,nan
15,14,1,2019-02-24,partly-cloudy-night,nan
1,0,1,2019-06-10,cloudy,nan
2818,1218,1600,2019-06-09,partly-cloudy-day,nan
9,1,8,2019-09-25,clear-night,nan
1,0,1,2019-04-27,rain,nan
3157,1394,1763,2019-08-24,partly-cloudy-day,nan
2521,1174,1347,2019-08-25,partly-cloudy-day,nan
2,1,1,2019-04-19,partly-cloudy-night,nan
0,0,0,2019-09-21,clear-night,nan
959,416,543,2019-01-22,clear-day,nan
8,0,8,2019-11-29,clear-night,nan
1,0,1,2019-03-19,partly-cloudy-night,nan
0,0,0,2019-04-15,partly-cloudy-night,Tax Day
368,217,151,2019-09-29,partly-cloudy-day,nan
1,0,1,2019-04-12,cloudy,nan
311,196,115,2019-04-14,partly-cloudy-day,nan
881,548,333,2019-06-15,partly-cloudy-day,nan
354,138,216,2019-12-01,sleet,nan
0,0,0,2019-02-15,clear-night,nan
0,0,0,2019-02-10,clear-night,nan
2928,1354,1574,2019-03-24,clear-day,nan
663,374,289,2019-01-20,rain,nan
269,142,127,2019-12-11,snow,nan
2745,1181,1564,2019-04-17,clear-day,nan
43,17,26,2019-08-05,clear-night,nan
1,0,1,2019-09-13,cloudy,nan
2513,1256,1257,2019-05-24,partly-cloudy-day,nan
0,0,0,2019-09-15,partly-cloudy-night,nan
279,136,143,2019-06-17,partly-cloudy-day,nan
1,0,1,2019-09-11,clear-night,nan
0,0,0,2019-10-12,cloudy,nan
105,97,8,2019-01-10,clear-night,nan
2,0,2,2019-04-17,cloudy,nan
1354,540,814,2019-09-26,cloudy,nan
4,4,0,2019-09-07,partly-cloudy-night,nan
1973,1087,886,2019-08-29,clear-day,nan
0,0,0,2019-02-09,clear-night,nan
1,0,1,2019-10-01,cloudy,nan
144,24,120,2019-01-01,rain,New Year's Day
1395,708,687,2019-06-13,cloudy,nan
0,0,0,2019-10-13,clear-night,nan
2,1,1,2019-10-19,clear-night,nan
703,251,452,2019-10-22,cloudy,nan
1,0,1,2019-12-27,cloudy,nan
0,0,0,2019-02-19,clear-night,nan
1084,388,696,2019-10-06,cloudy,nan
1885,1062,823,2019-09-09,partly-cloudy-day,nan
255,145,110,2019-12-17,rain,nan
0,0,0,2019-04-08,rain,nan
0,0,0,2019-07-15,clear-night,nan
19,8,11,2019-08-27,partly-cloudy-night,nan
5,3,2,2019-12-26,cloudy,nan
55,53,2,2019-09-18,clear-night,nan
1,0,1,2019-12-20,partly-cloudy-night,nan
0,0,0,2019-02-02,clear-day,nan
1842,796,1046,2019-05-29,cloudy,nan
0,0,0,2019-01-24,cloudy,nan
1590,674,916,2019-07-29,partly-cloudy-day,nan
1900,818,1082,2019-10-01,partly-cloudy-day,nan
13,7,6,2019-07-17,clear-night,nan
786,413,373,2019-10-17,partly-cloudy-day,nan
798,341,457,2019-10-31,rain,Halloween
124,119,5,2019-01-28,clear-night,nan
9,4,5,2019-07-23,rain,nan
6,5,1,2019-12-31,partly-cloudy-night,New Year's Eve
1563,679,884,2019-03-17,clear-day,St. Patrick's Day
0,0,0,2019-11-05,clear-night,nan
2587,1058,1529,2019-09-08,partly-cloudy-day,nan
15,15,0,2019-02-23,cloudy,nan
8,5,3,2019-09-29,clear-night,nan
2341,1231,1110,2019-03-23,clear-day,nan
1570,736,834,2019-08-21,partly-cloudy-day,nan
29,25,4,2019-03-23,partly-cloudy-night,nan
28,22,6,2019-07-28,clear-night,nan
1990,1033,957,2019-08-02,partly-cloudy-day,nan
1456,690,766,2019-09-23,clear-day,nan
2111,910,1201,2019-01-04,clear-day,nan
1321,479,842,2019-12-03,partly-cloudy-day,nan
116,81,35,2019-11-26,clear-night,nan
819,379,440,2019-03-06,partly-cloudy-day,nan
14,14,0,2019-04-06,rain,nan
1787,820,967,2019-11-11,clear-day,Veterans Day
128,51,77,2019-03-06,partly-cloudy-night,nan
543,233,310,2019-07-24,partly-cloudy-day,nan
2566,1206,1360,2019-12-08,clear-day,nan
46,32,14,2019-02-16,clear-night,nan
0,0,0,2019-05-13,cloudy,nan
35,29,6,2019-03-12,partly-cloudy-night,nan
2,1,1,2019-01-21,partly-cloudy-night,Martin Luther King Jr. Day
2720,1124,1596,2019-06-23,clear-day,nan
897,420,477,2019-01-15,clear-day,nan
2192,1044,1148,2019-10-11,cloudy,nan
1576,784,792,2019-04-04,clear-day,nan
1220,576,644,2019-04-09,cloudy,nan
186,71,115,2019-03-19,clear-night,nan
499,161,338,2019-06-03,clear-day,nan
17,17,0,2019-02-20,clear-night,nan
571,225,346,2019-08-15,partly-cloudy-night,nan
1598,641,957,2019-03-28,clear-day,nan
1057,577,480,2019-06-18,cloudy,nan
158,79,79,2019-05-28,clear-day,nan
56,48,8,2019-09-13,partly-cloudy-night,nan
1832,882,950,2019-07-25,clear-day,nan
949,398,551,2019-11-13,clear-day,nan
185,84,101,2019-08-16,partly-cloudy-night,nan
521,263,258,2019-09-10,cloudy,nan
22,0,22,2019-03-14,clear-night,nan
223,109,114,2019-05-13,rain,nan
17,9,8,2019-01-18,cloudy,nan
1035,451,584,2019-02-10,partly-cloudy-day,nan
2328,1145,1183,2019-11-30,clear-day,nan
3,1,2,2019-01-08,partly-cloudy-night,nan
1657,993,664,2019-09-03,clear-day,nan
35,13,22,2019-09-08,partly-cloudy-night,nan
639,305,334,2019-06-03,clear-day,nan
