pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
1050,494,556,2017-11-15,clear-day,nan
82,31,51,2018-01-17,snow,nan
2,0,2,2018-01-10,clear-night,nan
80,55,25,2018-01-22,partly-cloudy-night,nan
734,453,281,2017-11-04,clear-day,nan
224,144,80,2017-11-25,partly-cloudy-night,nan
955,407,548,2018-01-15,clear-day,Martin Luther King Jr. Day
102,83,19,2018-01-25,clear-night,nan
1207,473,734,2018-01-02,clear-night,nan
1926,809,1117,2017-11-12,clear-day,nan
1447,921,526,2017-11-02,partly-cloudy-day,nan
280,145,135,2017-11-13,partly-cloudy-day,nan
1532,774,758,2017-11-09,partly-cloudy-day,nan
52,26,26,2018-01-14,clear-night,nan
175,97,78,2017-12-03,partly-cloudy-night,nan
3,1,2,2018-01-17,cloudy,nan
1444,722,722,2017-11-26,partly-cloudy-day,nan
47,38,9,2017-12-05,rain,nan
89,40,49,2018-01-03,clear-night,nan
84,38,46,2017-11-22,partly-cloudy-day,nan
2340,1085,1255,2017-10-13,partly-cloudy-day,nan
242,122,120,2017-10-11,partly-cloudy-night,nan
364,232,132,2017-11-16,clear-night,nan
73,34,39,2017-11-05,cloudy,Daylight Saving Time ends
2649,1426,1223,2017-10-15,partly-cloudy-day,nan
540,274,266,2017-12-05,partly-cloudy-day,nan
181,121,60,2017-11-18,rain,nan
2,0,2,2017-10-02,clear-night,nan
59,40,19,2017-12-09,partly-cloudy-night,nan
59,26,33,2017-12-28,clear-night,nan
1719,885,834,2017-10-02,clear-day,nan
952,437,515,2017-11-20,clear-night,nan
158,96,62,2017-10-25,clear-night,nan
1838,939,899,2017-12-29,clear-day,nan
3388,1644,1744,2017-10-07,clear-day,nan
42,27,15,2018-02-03,partly-cloudy-night,nan
2733,1208,1525,2017-12-02,clear-day,nan
23,8,15,2017-12-12,partly-cloudy-night,nan
7,5,2,2017-11-04,clear-night,nan
677,378,299,2017-10-24,partly-cloudy-day,nan
821,396,425,2017-12-09,partly-cloudy-day,nan
291,91,200,2017-10-17,clear-day,nan
141,113,28,2017-12-01,clear-night,nan
500,271,229,2017-10-13,partly-cloudy-day,nan
134,65,69,2017-10-03,clear-night,nan
593,339,254,2018-02-01,partly-cloudy-day,nan
1861,1062,799,2017-10-18,clear-day,nan
112,38,74,2017-10-09,clear-night,Columbus Day (regional holiday)
46,27,19,2017-10-17,clear-night,nan
2,1,1,2017-10-29,rain,nan
91,54,37,2017-10-27,clear-night,nan
169,82,87,2018-01-31,clear-day,nan
326,176,150,2018-01-17,snow,nan
223,112,111,2017-10-18,clear-night,nan
10,8,2,2017-12-16,clear-night,nan
1239,762,477,2017-10-12,partly-cloudy-day,nan
316,141,175,2017-11-02,partly-cloudy-night,nan
275,117,158,2017-10-01,clear-night,nan
1333,612,721,2017-12-07,clear-day,nan
2305,1254,1051,2017-12-29,partly-cloudy-day,nan
3,0,3,2017-11-27,clear-night,nan
2124,1188,936,2017-10-06,clear-day,nan
2487,1282,1205,2017-12-24,clear-day,Christmas Eve
373,150,223,2017-10-07,clear-night,nan
321,183,138,2018-02-02,clear-day,nan
87,46,41,2017-11-03,clear-night,nan
143,64,79,2017-12-28,clear-night,nan
487,281,206,2018-01-29,clear-day,nan
1109,513,596,2018-01-09,clear-day,nan
796,411,385,2017-10-31,clear-day,Halloween
85,48,37,2018-01-14,clear-day,nan
83,32,51,2018-01-08,cloudy,nan
536,293,243,2017-10-02,clear-day,nan
1966,808,1158,2017-11-21,clear-day,nan
115,89,26,2017-12-23,partly-cloudy-night,nan
1210,643,567,2017-12-18,cloudy,nan
13,8,5,2017-12-05,partly-cloudy-night,nan
56,28,28,2018-02-01,partly-cloudy-night,nan
395,150,245,2017-10-04,clear-night,nan
208,85,123,2017-11-29,clear-night,nan
5,3,2,2017-11-08,partly-cloudy-night,nan
1994,1023,971,2017-10-20,clear-day,nan
60,37,23,2018-01-10,partly-cloudy-night,nan
1080,511,569,2018-01-11,partly-cloudy-day,nan
394,235,159,2017-12-20,clear-night,nan
2105,1007,1098,2017-10-10,clear-day,nan
173,104,69,2017-11-05,cloudy,Daylight Saving Time ends
60,37,23,2018-01-23,clear-night,nan
1217,636,581,2017-10-24,partly-cloudy-day,nan
14,9,5,2017-10-21,clear-night,nan
697,324,373,2018-01-28,partly-cloudy-day,nan
29,15,14,2017-11-13,clear-night,nan
1576,758,818,2017-10-11,clear-day,nan
1932,815,1117,2017-12-16,partly-cloudy-day,nan
561,394,167,2017-12-06,clear-night,nan
9,5,4,2017-10-09,partly-cloudy-night,Columbus Day (regional holiday)
11,3,8,2017-10-16,partly-cloudy-night,nan
146,66,80,2017-11-26,clear-night,nan
681,299,382,2018-01-18,clear-day,nan
1695,996,699,2017-10-03,clear-day,nan
20,10,10,2018-01-20,clear-night,nan
125,105,20,2017-12-20,clear-night,nan
17,11,6,2017-10-27,clear-night,nan
260,145,115,2018-01-10,clear-day,nan
8,6,2,2018-01-12,fog,nan
187,176,11,2017-12-22,partly-cloudy-night,nan
43,21,22,2018-01-15,clear-night,Martin Luther King Jr. Day
1345,713,632,2017-11-06,rain,nan
1242,549,693,2017-11-05,cloudy,Daylight Saving Time ends
102,66,36,2018-01-19,clear-night,nan
409,257,152,2017-12-04,partly-cloudy-night,nan
0,0,0,2018-01-06,clear-night,nan
329,209,120,2018-01-26,clear-night,nan
7,4,3,2017-10-19,clear-night,nan
855,379,476,2018-01-26,clear-day,nan
21,10,11,2017-10-05,clear-night,nan
2585,1253,1332,2017-10-14,partly-cloudy-day,nan
15,9,6,2017-11-19,partly-cloudy-night,nan
1042,514,528,2018-01-28,partly-cloudy-day,nan
145,71,74,2017-12-21,clear-night,nan
1604,702,902,2017-12-18,partly-cloudy-day,nan
31,9,22,2017-11-24,clear-night,Black Friday
3451,1587,1864,2017-10-28,clear-day,nan
78,41,37,2017-12-10,clear-night,nan
844,411,433,2017-11-30,clear-night,nan
2,0,2,2017-12-26,clear-night,nan
77,44,33,2017-12-15,partly-cloudy-night,nan
1579,736,843,2017-12-07,clear-day,nan
324,170,154,2017-10-25,clear-night,nan
1589,741,848,2017-12-31,clear-day,New Year's Eve
259,184,75,2018-01-17,partly-cloudy-night,nan
1536,566,970,2017-10-22,clear-day,nan
2991,1529,1462,2017-11-04,partly-cloudy-day,nan
4,2,2,2017-11-07,clear-night,nan
204,128,76,2017-12-30,clear-night,nan
89,34,55,2017-11-18,clear-day,nan
26,13,13,2017-10-20,clear-night,nan
1654,782,872,2017-12-16,partly-cloudy-day,nan
687,322,365,2017-12-14,partly-cloudy-day,nan
126,48,78,2017-12-30,clear-night,nan
3209,1666,1543,2017-10-21,clear-day,nan
1025,583,442,2017-11-20,partly-cloudy-day,nan
105,84,21,2017-12-09,partly-cloudy-night,nan
68,24,44,2017-11-14,partly-cloudy-night,nan
380,203,177,2017-11-12,clear-night,nan
14,7,7,2018-01-05,clear-night,nan
2,1,1,2018-01-01,clear-night,New Year's Day
1621,744,877,2017-11-01,partly-cloudy-day,nan
1,0,1,2018-02-04,cloudy,nan
280,118,162,2018-01-06,clear-night,nan
598,340,258,2017-10-29,rain,nan
369,206,163,2017-11-19,partly-cloudy-night,nan
4,1,3,2018-01-01,clear-night,New Year's Day
1231,560,671,2017-11-28,clear-day,nan
2,0,2,2018-01-15,clear-night,Martin Luther King Jr. Day
651,342,309,2018-01-06,clear-day,nan
124,67,57,2018-01-05,clear-day,nan
78,45,33,2017-10-23,partly-cloudy-night,nan
31,17,14,2017-11-17,partly-cloudy-night,nan
69,51,18,2018-01-12,partly-cloudy-night,nan
313,167,146,2017-11-23,clear-day,Thanksgiving Day
7,5,2,2018-01-23,fog,nan
11,7,4,2017-12-08,clear-night,nan
35,15,20,2017-11-28,clear-night,nan
154,54,100,2018-01-01,clear-night,New Year's Day
16,5,11,2017-12-28,clear-night,nan
228,82,146,2017-11-23,clear-night,Thanksgiving Day
2234,1207,1027,2017-10-30,partly-cloudy-day,nan
30,14,16,2017-10-20,clear-night,nan
315,197,118,2018-02-04,partly-cloudy-day,nan
1001,431,570,2017-12-12,partly-cloudy-day,nan
1694,780,914,2017-12-19,clear-day,nan
5,4,1,2017-11-05,partly-cloudy-night,Daylight Saving Time ends
2721,1539,1182,2017-10-14,partly-cloudy-day,nan
1073,444,629,2017-12-05,partly-cloudy-day,nan
1269,587,682,2017-11-10,clear-day,Veterans Day observed
260,108,152,2018-01-24,partly-cloudy-day,nan
7,4,3,2017-11-12,clear-night,nan
926,392,534,2018-01-19,clear-day,nan
211,112,99,2017-10-12,partly-cloudy-night,nan
490,190,300,2017-10-10,clear-day,nan
4,3,1,2017-11-16,partly-cloudy-night,nan
593,327,266,2017-11-28,clear-day,nan
1717,715,1002,2017-11-26,clear-day,nan
1969,947,1022,2018-01-02,clear-day,nan
48,38,10,2017-11-26,clear-night,nan
1481,699,782,2017-12-20,clear-day,nan
3046,1596,1450,2017-10-22,clear-day,nan
292,114,178,2017-12-06,partly-cloudy-day,nan
60,36,24,2017-10-31,clear-night,Halloween
52,28,24,2018-01-04,partly-cloudy-night,nan
10,5,5,2017-10-25,partly-cloudy-night,nan
3,2,1,2017-10-30,clear-night,nan
396,191,205,2017-11-15,clear-day,nan
12,5,7,2018-01-13,partly-cloudy-night,nan
1099,654,445,2017-11-21,clear-day,nan
19,13,6,2017-12-04,partly-cloudy-night,nan
1825,914,911,2017-12-22,partly-cloudy-day,nan
887,477,410,2017-11-06,partly-cloudy-day,nan
119,58,61,2017-12-29,clear-night,nan
184,98,86,2018-01-27,clear-day,nan
1844,881,963,2017-11-17,clear-day,nan
2,1,1,2017-12-28,clear-night,nan
463,230,233,2017-12-13,partly-cloudy-day,nan
238,145,93,2018-01-13,clear-night,nan
2115,1016,1099,2017-12-27,clear-day,nan
57,29,28,2017-11-22,clear-night,nan
7,3,4,2017-12-17,partly-cloudy-night,nan
163,132,31,2017-12-13,clear-night,nan
928,529,399,2017-11-22,rain,nan
420,312,108,2018-01-31,clear-night,nan
616,279,337,2018-02-02,partly-cloudy-day,nan
15,12,3,2017-10-14,partly-cloudy-night,nan
1,0,1,2018-01-08,partly-cloudy-night,nan
14,8,6,2017-10-28,clear-night,nan
1721,801,920,2017-11-09,partly-cloudy-day,nan
657,317,340,2018-01-25,clear-day,nan
128,63,65,2017-12-03,clear-night,nan
214,111,103,2017-12-14,clear-night,nan
521,320,201,2017-11-12,clear-day,nan
370,188,182,2017-12-21,clear-day,nan
143,75,68,2018-01-20,clear-night,nan
0,0,0,2017-12-15,clear-night,nan
2983,1591,1392,2017-10-07,clear-day,nan
1520,757,763,2017-10-26,partly-cloudy-day,nan
823,412,411,2018-01-29,partly-cloudy-day,nan
398,198,200,2018-01-27,clear-day,nan
302,159,143,2017-11-25,clear-day,nan
18,6,12,2018-01-07,clear-night,nan
165,75,90,2017-11-27,clear-night,nan
135,92,43,2018-02-01,partly-cloudy-night,nan
848,469,379,2017-11-16,clear-night,nan
206,97,109,2018-01-16,partly-cloudy-day,nan
283,90,193,2017-11-14,partly-cloudy-day,nan
55,26,29,2017-11-16,rain,nan
125,60,65,2018-01-21,partly-cloudy-night,nan
7,6,1,2017-12-22,clear-night,nan
1,0,1,2017-11-21,clear-night,nan
147,66,81,2017-12-17,partly-cloudy-day,nan
24,14,10,2017-10-31,clear-night,Halloween
101,78,23,2017-11-10,clear-night,Veterans Day observed
490,197,293,2017-10-17,clear-night,nan
2,0,2,2018-01-21,clear-night,nan
1305,698,607,2017-12-02,clear-day,nan
845,504,341,2017-10-01,clear-day,nan
0,0,0,2017-12-06,partly-cloudy-night,nan
27,20,7,2018-01-21,clear-night,nan
399,179,220,2017-11-29,partly-cloudy-day,nan
1083,495,588,2017-11-15,partly-cloudy-day,nan
589,224,365,2017-10-08,partly-cloudy-night,nan
1433,620,813,2018-01-13,clear-day,nan
505,295,210,2017-12-09,fog,nan
8,3,5,2017-12-04,partly-cloudy-night,nan
141,67,74,2017-11-11,clear-night,Veterans Day
2,0,2,2017-10-17,clear-night,nan
50,29,21,2017-12-18,partly-cloudy-night,nan
725,333,392,2018-01-22,partly-cloudy-day,nan
769,394,375,2018-01-18,clear-day,nan
22,14,8,2017-10-03,clear-night,nan
917,527,390,2017-11-17,clear-day,nan
719,374,345,2018-01-22,clear-day,nan
1728,840,888,2017-12-11,clear-day,nan
474,195,279,2017-10-15,cloudy,nan
11,8,3,2018-01-28,partly-cloudy-night,nan
681,253,428,2018-01-14,clear-night,nan
57,38,19,2017-10-08,clear-night,nan
2271,1355,916,2017-10-25,partly-cloudy-day,nan
364,152,212,2017-10-06,clear-night,nan
19,10,9,2017-11-06,partly-cloudy-night,nan
1258,716,542,2017-10-26,partly-cloudy-day,nan
5,4,1,2017-12-13,clear-night,nan
1957,965,992,2017-11-02,clear-day,nan
45,27,18,2018-01-18,clear-night,nan
1652,936,716,2017-10-18,clear-day,nan
1066,505,561,2017-11-16,clear-day,nan
1734,798,936,2018-01-03,clear-day,nan
849,325,524,2017-10-21,clear-night,nan
1,0,1,2018-02-03,clear-night,nan
2,1,1,2017-11-11,clear-night,Veterans Day
514,309,205,2018-02-03,clear-night,nan
476,248,228,2017-11-05,partly-cloudy-night,Daylight Saving Time ends
17,9,8,2017-11-28,clear-night,nan
1726,850,876,2017-10-05,clear-day,nan
2962,1445,1517,2017-10-14,cloudy,nan
168,75,93,2017-12-05,partly-cloudy-night,nan
2140,1102,1038,2017-10-20,clear-day,nan
1744,944,800,2017-10-11,partly-cloudy-day,nan
869,454,415,2018-01-11,partly-cloudy-day,nan
17,8,9,2017-12-02,clear-night,nan
710,355,355,2018-01-25,clear-day,nan
5,3,2,2017-12-10,partly-cloudy-night,nan
206,128,78,2017-11-06,clear-night,nan
704,465,239,2017-11-25,clear-day,nan
190,106,84,2017-11-18,clear-day,nan
138,63,75,2018-01-28,partly-cloudy-night,nan
243,144,99,2017-11-12,clear-night,nan
9,5,4,2017-11-15,partly-cloudy-night,nan
95,54,41,2017-12-24,clear-night,Christmas Eve
382,189,193,2017-10-21,clear-day,nan
1051,403,648,2017-11-26,clear-night,nan
7,3,4,2017-10-06,clear-night,nan
307,235,72,2017-12-21,clear-night,nan
111,90,21,2017-12-20,clear-night,nan
683,401,282,2017-10-10,clear-day,nan
9,5,4,2017-12-09,partly-cloudy-night,nan
4,2,2,2018-02-03,clear-night,nan
87,46,41,2018-01-05,clear-night,nan
23,11,12,2017-10-15,partly-cloudy-night,nan
184,104,80,2017-11-23,clear-night,Thanksgiving Day
165,99,66,2017-11-08,partly-cloudy-night,nan
16,9,7,2017-10-04,clear-night,nan
10,9,1,2017-10-24,partly-cloudy-night,nan
522,254,268,2017-11-01,cloudy,nan
510,204,306,2018-01-15,clear-night,Martin Luther King Jr. Day
38,25,13,2018-01-26,clear-night,nan
23,16,7,2017-11-19,rain,nan
953,469,484,2017-12-12,partly-cloudy-day,nan
41,15,26,2017-10-09,partly-cloudy-night,Columbus Day (regional holiday)
241,171,70,2017-11-30,partly-cloudy-night,nan
766,366,400,2017-10-23,partly-cloudy-day,nan
393,187,206,2017-10-28,partly-cloudy-night,nan
526,277,249,2018-01-28,partly-cloudy-day,nan
1546,767,779,2017-11-07,partly-cloudy-day,nan
186,67,119,2017-10-29,rain,nan
151,105,46,2018-01-09,clear-night,nan
369,259,110,2017-11-14,partly-cloudy-night,nan
361,160,201,2017-10-20,clear-night,nan
356,130,226,2017-11-29,partly-cloudy-day,nan
56,19,37,2018-01-05,clear-day,nan
607,328,279,2018-02-03,clear-day,nan
137,60,77,2018-01-11,partly-cloudy-night,nan
2623,1220,1403,2017-12-26,clear-day,nan
1457,621,836,2017-10-27,clear-night,nan
69,30,39,2017-11-28,clear-night,nan
2495,1452,1043,2017-12-25,partly-cloudy-day,Christmas Day
1964,890,1074,2017-12-31,clear-day,New Year's Eve
162,82,80,2018-01-02,clear-day,nan
148,75,73,2017-10-22,clear-night,nan
361,186,175,2017-12-16,cloudy,nan
2753,1372,1381,2017-10-27,clear-day,nan
12,10,2,2017-12-06,rain,nan
220,135,85,2017-12-10,clear-night,nan
945,568,377,2017-10-21,clear-day,nan
38,21,17,2018-01-17,partly-cloudy-night,nan
137,71,66,2018-02-04,partly-cloudy-day,nan
877,436,441,2017-12-20,clear-night,nan
490,233,257,2017-12-15,snow,nan
936,449,487,2017-12-14,partly-cloudy-day,nan
1321,726,595,2017-12-30,fog,nan
1490,697,793,2017-11-20,clear-day,nan
22,2,20,2018-01-06,clear-night,nan
132,58,74,2017-12-27,clear-night,nan
57,20,37,2017-12-24,cloudy,Christmas Eve
83,47,36,2017-11-30,clear-night,nan
56,22,34,2018-01-15,partly-cloudy-night,Martin Luther King Jr. Day
234,128,106,2017-11-12,clear-day,nan
162,75,87,2017-11-20,partly-cloudy-day,nan
2277,1149,1128,2017-10-25,partly-cloudy-day,nan
114,56,58,2017-12-26,clear-night,nan
6,2,4,2018-01-20,clear-night,nan
1019,513,506,2017-12-18,partly-cloudy-night,nan
1679,753,926,2017-12-08,clear-day,nan
1,0,1,2017-12-07,clear-night,nan
1,0,1,2018-02-02,rain,nan
21,10,11,2018-01-12,partly-cloudy-night,nan
225,101,124,2018-01-19,clear-day,nan
75,52,23,2017-10-29,partly-cloudy-night,nan
79,33,46,2017-11-13,partly-cloudy-day,nan
823,417,406,2017-11-10,clear-day,Veterans Day observed
735,337,398,2018-01-05,clear-day,nan
21,6,15,2017-11-18,clear-night,nan
539,238,301,2017-10-23,partly-cloudy-night,nan
731,388,343,2017-12-12,partly-cloudy-day,nan
250,125,125,2017-10-09,partly-cloudy-night,Columbus Day (regional holiday)
911,581,330,2017-10-30,partly-cloudy-day,nan
66,43,23,2018-01-24,clear-night,nan
41,15,26,2017-10-05,clear-night,nan
3,1,2,2017-11-29,clear-night,nan
109,69,40,2017-10-26,clear-night,nan
251,123,128,2017-11-04,clear-night,nan
3,2,1,2017-12-16,clear-night,nan
641,285,356,2018-02-01,partly-cloudy-day,nan
1,0,1,2017-11-25,clear-night,nan
8,3,5,2018-01-04,partly-cloudy-night,nan
130,78,52,2018-01-13,partly-cloudy-day,nan
480,252,228,2017-10-17,clear-day,nan
513,242,271,2017-11-16,partly-cloudy-day,nan
139,76,63,2017-10-27,clear-night,nan
12,5,7,2017-12-14,partly-cloudy-night,nan
1603,738,865,2017-11-22,partly-cloudy-day,nan
2065,878,1187,2017-11-11,clear-day,Veterans Day
4,2,2,2018-01-11,partly-cloudy-night,nan
5,4,1,2018-01-31,clear-night,nan
2005,937,1068,2017-12-28,clear-day,nan
2,0,2,2017-12-06,partly-cloudy-night,nan
383,232,151,2017-11-15,partly-cloudy-night,nan
13,7,6,2017-11-11,clear-night,Veterans Day
5,4,1,2017-10-30,rain,nan
2679,1516,1163,2017-10-22,clear-day,nan
129,60,69,2017-11-17,clear-night,nan
1842,822,1020,2017-12-01,clear-day,nan
14,7,7,2017-11-22,clear-night,nan
46,39,7,2018-01-13,clear-night,nan
1214,606,608,2018-01-14,clear-day,nan
24,7,17,2017-11-24,clear-night,Black Friday
1287,516,771,2018-01-20,clear-night,nan
962,458,504,2017-11-30,partly-cloudy-day,nan
818,356,462,2017-10-31,clear-night,Halloween
8,3,5,2018-01-05,partly-cloudy-night,nan
671,303,368,2017-12-03,partly-cloudy-night,nan
3,2,1,2017-12-04,clear-night,nan
2,1,1,2018-01-27,clear-night,nan
1179,561,618,2017-11-30,partly-cloudy-day,nan
1333,575,758,2017-11-27,clear-day,nan
193,130,63,2018-01-12,rain,nan
2127,998,1129,2018-01-27,clear-day,nan
12,7,5,2018-01-17,cloudy,nan
463,275,188,2017-11-22,partly-cloudy-night,nan
1215,482,733,2017-12-29,clear-night,nan
128,69,59,2018-01-29,partly-cloudy-night,nan
502,268,234,2018-01-08,clear-day,nan
74,43,31,2017-12-16,clear-night,nan
189,84,105,2017-11-21,clear-day,nan
8,5,3,2017-11-17,clear-night,nan
49,37,12,2017-10-28,clear-night,nan
942,505,437,2017-12-09,fog,nan
36,20,16,2017-12-22,partly-cloudy-night,nan
1768,841,927,2017-12-04,clear-day,nan
466,260,206,2018-01-27,partly-cloudy-night,nan
1593,783,810,2018-01-02,clear-day,nan
5,3,2,2018-01-07,clear-night,nan
1992,846,1146,2017-11-19,partly-cloudy-day,nan
1374,612,762,2017-12-20,partly-cloudy-day,nan
631,292,339,2018-01-16,partly-cloudy-day,nan
701,303,398,2018-01-11,partly-cloudy-night,nan
0,0,0,2017-11-14,clear-night,nan
463,299,164,2017-11-13,partly-cloudy-night,nan
23,12,11,2017-10-20,clear-night,nan
35,25,10,2017-11-11,clear-night,Veterans Day
24,15,9,2017-10-08,partly-cloudy-night,nan
1,1,0,2017-11-07,rain,nan
249,149,100,2018-01-13,partly-cloudy-day,nan
755,446,309,2017-12-23,rain,nan
16,13,3,2018-01-13,partly-cloudy-night,nan
3,2,1,2017-10-31,clear-night,Halloween
14,8,6,2018-01-15,clear-night,Martin Luther King Jr. Day
95,83,12,2017-12-14,clear-night,nan
2616,1447,1169,2017-10-01,clear-day,nan
7,4,3,2017-12-21,clear-night,nan
660,386,274,2017-10-06,clear-day,nan
1607,802,805,2017-12-22,partly-cloudy-day,nan
659,329,330,2017-11-11,clear-night,Veterans Day
2,1,1,2017-12-17,partly-cloudy-night,nan
10,6,4,2018-01-26,clear-night,nan
2,1,1,2017-12-18,cloudy,nan
1237,816,421,2017-10-24,partly-cloudy-day,nan
1125,492,633,2017-11-29,clear-day,nan
4,3,1,2018-01-28,rain,nan
81,45,36,2018-01-24,cloudy,nan
2248,1158,1090,2017-12-25,partly-cloudy-day,Christmas Day
217,111,106,2018-01-12,cloudy,nan
1340,611,729,2017-12-06,clear-day,nan
364,207,157,2018-01-21,clear-day,nan
200,147,53,2017-11-21,clear-night,nan
1264,644,620,2017-12-11,clear-day,nan
1376,626,750,2017-12-11,clear-day,nan
1224,666,558,2017-12-22,partly-cloudy-day,nan
1952,1072,880,2017-10-02,clear-day,nan
1960,981,979,2017-11-02,partly-cloudy-day,nan
3,1,2,2018-02-03,clear-night,nan
2160,982,1178,2018-01-03,clear-day,nan
2,0,2,2017-12-29,partly-cloudy-night,nan
1489,808,681,2017-10-16,clear-day,nan
155,109,46,2018-01-23,clear-night,nan
201,115,86,2017-10-21,clear-night,nan
22,12,10,2017-10-26,partly-cloudy-night,nan
94,48,46,2017-12-13,clear-night,nan
9,7,2,2017-11-28,clear-night,nan
335,221,114,2017-12-07,clear-night,nan
214,101,113,2018-01-07,clear-night,nan
1995,886,1109,2017-12-03,partly-cloudy-day,nan
1989,941,1048,2017-10-06,clear-day,nan
2754,1256,1498,2017-11-25,clear-day,nan
340,221,119,2018-01-18,clear-night,nan
323,172,151,2018-01-23,rain,nan
508,335,173,2017-11-29,clear-night,nan
16,11,5,2017-10-04,clear-night,nan
459,276,183,2017-12-17,partly-cloudy-day,nan
493,242,251,2017-10-06,clear-day,nan
226,122,104,2017-10-15,partly-cloudy-night,nan
308,141,167,2017-10-10,clear-night,nan
184,148,36,2017-12-22,cloudy,nan
2,0,2,2018-01-25,clear-night,nan
161,69,92,2017-11-24,clear-night,Black Friday
687,392,295,2017-10-05,clear-day,nan
8,8,0,2017-10-11,clear-night,nan
29,14,15,2018-01-30,clear-night,nan
11,4,7,2017-11-20,partly-cloudy-night,nan
35,12,23,2017-11-03,clear-night,nan
25,13,12,2017-10-01,partly-cloudy-night,nan
241,116,125,2017-12-31,clear-night,New Year's Eve
1260,549,711,2017-12-15,partly-cloudy-day,nan
93,51,42,2017-11-15,partly-cloudy-night,nan
4,2,2,2017-11-09,clear-night,nan
1282,509,773,2017-11-21,clear-night,nan
6,3,3,2017-10-12,partly-cloudy-night,nan
1663,721,942,2018-01-21,clear-day,nan
3,2,1,2018-01-15,clear-night,Martin Luther King Jr. Day
14,6,8,2018-01-24,clear-night,nan
670,380,290,2017-10-27,clear-day,nan
4,2,2,2017-12-14,partly-cloudy-night,nan
60,25,35,2017-10-16,partly-cloudy-night,nan
1328,163,1165,2018-01-01,clear-night,New Year's Day
2287,1137,1150,2017-11-03,clear-day,nan
422,192,230,2017-10-09,rain,Columbus Day (regional holiday)
0,0,0,2017-12-25,cloudy,Christmas Day
2,1,1,2017-10-22,clear-night,nan
144,57,87,2017-10-13,partly-cloudy-night,nan
2210,1148,1062,2017-12-10,partly-cloudy-day,nan
10,4,6,2018-01-29,clear-night,nan
545,266,279,2017-11-08,partly-cloudy-day,nan
2137,1085,1052,2017-10-23,clear-day,nan
4,0,4,2017-12-05,partly-cloudy-night,nan
951,575,376,2017-10-28,clear-day,nan
1183,565,618,2017-12-25,partly-cloudy-night,Christmas Day
160,87,73,2017-11-01,clear-night,nan
248,86,162,2017-12-11,partly-cloudy-day,nan
161,115,46,2017-12-16,partly-cloudy-night,nan
59,32,27,2017-11-13,clear-night,nan
1856,840,1016,2017-12-26,clear-day,nan
221,125,96,2018-01-23,partly-cloudy-day,nan
197,120,77,2017-11-18,rain,nan
535,310,225,2018-02-01,clear-day,nan
2142,1113,1029,2017-11-23,clear-day,Thanksgiving Day
1388,709,679,2017-10-17,clear-day,nan
7,1,6,2017-11-13,partly-cloudy-night,nan
916,431,485,2018-01-07,clear-day,nan
6,2,4,2017-12-01,partly-cloudy-night,nan
115,62,53,2017-10-24,partly-cloudy-night,nan
1255,627,628,2017-11-14,partly-cloudy-day,nan
3,0,3,2018-01-09,partly-cloudy-night,nan
1476,753,723,2017-11-19,partly-cloudy-day,nan
25,11,14,2017-10-29,partly-cloudy-night,nan
376,200,176,2018-01-30,partly-cloudy-day,nan
971,444,527,2018-01-10,rain,nan
174,47,127,2018-01-09,clear-day,nan
193,94,99,2018-01-25,clear-day,nan
89,46,43,2017-12-09,partly-cloudy-night,nan
14,8,6,2017-12-27,clear-night,nan
11,9,2,2017-12-03,clear-night,nan
1900,1033,867,2018-01-01,clear-day,New Year's Day
586,263,323,2017-11-12,clear-night,nan
63,37,26,2017-12-18,partly-cloudy-night,nan
1463,703,760,2017-11-18,partly-cloudy-day,nan
8,3,5,2018-01-19,clear-night,nan
2,1,1,2017-12-31,clear-night,New Year's Eve
308,111,197,2017-12-07,clear-day,nan
113,77,36,2018-02-02,partly-cloudy-night,nan
19,10,9,2017-10-23,clear-night,nan
6,3,3,2018-01-18,clear-night,nan
734,340,394,2017-11-09,partly-cloudy-night,nan
73,39,34,2018-01-19,clear-night,nan
519,311,208,2017-11-19,partly-cloudy-day,nan
19,10,9,2017-11-02,partly-cloudy-night,nan
13,5,8,2017-11-03,partly-cloudy-night,nan
1437,782,655,2017-10-25,clear-day,nan
271,170,101,2018-01-06,clear-day,nan
1,0,1,2017-12-23,cloudy,nan
14,2,12,2018-01-09,clear-night,nan
286,172,114,2018-01-14,clear-day,nan
3816,1865,1951,2017-10-28,clear-day,nan
102,51,51,2017-10-30,clear-night,nan
16,9,7,2017-11-07,clear-night,nan
5,2,3,2017-12-12,partly-cloudy-night,nan
1415,677,738,2017-11-08,partly-cloudy-day,nan
0,0,0,2018-01-30,partly-cloudy-night,nan
422,247,175,2017-12-28,clear-day,nan
0,0,0,2018-01-02,clear-night,nan
142,68,74,2017-12-29,partly-cloudy-day,nan
26,20,6,2017-11-07,rain,nan
78,55,23,2017-11-23,clear-night,Thanksgiving Day
773,426,347,2017-12-19,partly-cloudy-day,nan
1145,697,448,2017-10-13,partly-cloudy-day,nan
143,43,100,2018-01-31,clear-day,nan
179,70,109,2017-11-17,clear-day,nan
662,420,242,2018-01-22,partly-cloudy-night,nan
1415,573,842,2017-12-08,clear-day,nan
5,4,1,2017-10-18,clear-night,nan
121,60,61,2017-12-23,cloudy,nan
19,12,7,2017-11-10,clear-night,Veterans Day observed
60,36,24,2017-11-01,clear-night,nan
131,30,101,2017-12-11,cloudy,nan
